# sample; mag1 in nT; mag2 in nT; grad in nT
8917260;43688.84858754070592;43693.94715997352614;-5.09857243281993
8917261;43682.37743038312328;43688.90563815557834;-6.52820777246336
8917262;43679.21736732179852;43684.33350471177982;-5.11613738998670
8917263;43675.33680759621348;43681.84242979998089;-6.50562220377774
8917264;43676.83603360953566;43681.92921289897640;-5.09317928944374
8917265;43670.21792821331474;43676.70291715527128;-6.48498894195950
8917266;43666.87685849259287;43671.97281746142107;-5.09595896883896
8917267;43662.26475537571969;43668.77409097563213;-6.50933559990879
8917268;43662.07811519798270;43667.16297005883098;-5.08485486085518
8917269;43665.82185862886399;43672.32313554764551;-6.50127691877787
8917270;43669.87317197953962;43675.00075679618021;-5.12758481664128
8917271;43675.13687630806089;43681.65860612643155;-6.52172981837044
8917272;43679.67798179696547;43684.80819730355870;-5.13021550659872
8917273;43682.94359010031621;43689.47517018242797;-6.53158008210991
8917274;43683.11053081249702;43688.24889756006451;-5.13836674756091
8917275;43688.29394174146728;43694.82296506604325;-6.52902332457928
8917276;43692.67793023365084;43697.83441306699387;-5.15648283334968
8917277;43695.56006139419333;43702.09239948297909;-6.53233808879125
8917278;43696.67419442409300;43701.84053552630940;-5.16634110221563
8917279;43691.57117791972996;43698.09891621839779;-6.52773829866117
8917280;43689.28087218400469;43694.39510513863206;-5.11423295463453
8917281;43683.02488269552123;43689.54841119080811;-6.52352849529022
8917282;43680.00144914323027;43685.11727305115346;-5.11582390792689
8917283;43676.04444409386633;43682.56377964444255;-6.51933555057510
8917284;43677.54533832128800;43682.65611009919667;-5.11077177791564
8917285;43670.66290825141186;43677.17483617531980;-6.51192792391023
8917286;43667.42134380065545;43672.51668650472129;-5.09534270406721
8917287;43663.58542095869780;43670.02522481670894;-6.43980385801117
8917288;43662.93154200112622;43668.02247008922859;-5.09092808809987
8917289;43666.61400740041427;43673.09432178223506;-6.48031438182356
8917290;43670.60311110000475;43675.70580767116917;-5.10269657117464
8917291;43675.85094853985356;43682.34960219932691;-6.49865365947807
8917292;43680.06377168410836;43685.17674130343948;-5.11296961933179
8917293;43683.26754229096696;43689.79297531479824;-6.52543302383141
8917294;43683.49517731465312;43688.60811789571744;-5.11294058106576
8917295;43689.40136370726395;43695.90669492683810;-6.50533121956935
