Time_ms,Signal_nT
0,0.264623858682307
1,0.0765027350268204
2,0.0353175078777044
3,0.0267290805159197
4,0.0152481411100363
5,0.0140586687926341
6,0.00850440141912934
7,0.0106605595816855
8,0.00456822805532653
9,0.00801761898699205
10,0.00310653344009992
11,0.00408889083882968
12,0.00018887531027012
13,0.00509874558384205
14,-0.00156528228895869
15,0.00334327076931018
16,-0.000718262815194493
17,-0
18,-0
19,-0
