Zeit,Relaxation,GestoerteRElaxation,Gefiltert,Stoersignal
0.000000000000000000e+00,6.000000000000000000e+01,5.963173711633915985e+01,6.130814499272754858e+01
1.000000000000000021e-03,2.207276647028653827e+01,3.776799849973266987e+01,4.895804057817009181e+01
2.000000000000000042e-03,8.120116994196761695e+00,3.744411048760239424e+01,3.909577981095451094e+01
3.000000000000000062e-03,2.987224102071836640e+00,4.318372024445326929e+01,3.122020368822057534e+01
4.000000000000000083e-03,1.098938333324050776e+00,4.854725194598896110e+01,2.493110824357756883e+01
5.000000000000000104e-03,4.042768199451280409e-01,5.048195543542508545e+01,1.990890784890993359e+01
6.000000000000000125e-03,1.487251305999815199e-01,4.771053458243679302e+01,1.589839520425225494e+01
7.000000000000000146e-03,5.471291793327097419e-02,4.048468191188407417e+01,1.269577276608020533e+01
8.000000000000000167e-03,2.012775767415071054e-02,2.981833184021051864e+01,1.013829660523429155e+01
9.000000000000001055e-03,7.404588245200773890e-03,1.541976491050114184e+01,8.096006438483215106e+00
1.000000000000000021e-02,2.723995785749091115e-03,-1.996828897719139517e-01,6.465121588386093521e+00
1.099999999999999936e-02,1.002102047414739610e-03,-1.493026365075859729e+01,5.162767281648397599e+00
1.200000000000000025e-02,3.686527411996925714e-04,-2.936380764913468866e+01,4.122763298425906164e+00
1.300000000000000114e-02,1.356197644188632408e-04,-4.055121238082006130e+01,3.292260969280163430e+00
1.400000000000000029e-02,4.989172314621407347e-05,-4.762195431812742186e+01,2.629057625982054169e+00
1.499999999999999944e-02,1.835413923010954546e-05,-5.032891066422864412e+01,2.099452037742213228e+00
1.600000000000000033e-02,6.752110483155546723e-06,-4.799636943464286531e+01,1.676531855072399768e+00
1.700000000000000122e-02,2.483962631271100019e-06,-4.082097109161848181e+01,1.338806036309950986e+00
1.800000000000000211e-02,9.137987846827577624e-07,-2.941597088510511071e+01,1.069112762419035079e+00
1.899999999999999953e-02,3.361677862522360762e-07,-1.514964759405594918e+01,8.537473448488692718e-01
2.000000000000000042e-02,nan,nan,nan
2.100000000000000130e-02,nan,nan,nan
2.199999999999999872e-02,nan,nan,nan
2.299999999999999961e-02,nan,nan,nan
2.400000000000000050e-02,nan,nan,nan
2.500000000000000139e-02,nan,nan,nan
2.600000000000000228e-02,nan,nan,nan
2.699999999999999969e-02,nan,nan,nan
2.800000000000000058e-02,nan,nan,nan
2.900000000000000147e-02,nan,nan,nan
2.999999999999999889e-02,6.000000000000000000e+01,6.030378928156881813e+01,4.682317169931040723e+01
3.099999999999999978e-02,2.207276647028653827e+01,6.578062505366625956e+00,1.494066676251617487e+00
3.200000000000000067e-02,8.120116994196761695e+00,-2.122712990411511669e+01,4.767372973835582589e-02
3.300000000000000155e-02,2.987224102071836640e+00,-3.739071065042835329e+01,1.521206880048926518e-03
3.400000000000000244e-02,1.098938333324050776e+00,-4.657161850278743742e+01,4.853973843893332987e-05
3.500000000000000333e-02,4.042768199451280409e-01,-4.964571859914420315e+01,1.548840094415222818e-06
3.600000000000000422e-02,1.487251305999815199e-01,-4.756141026123091819e+01,4.942147846730062225e-08
3.699999999999999817e-02,5.471291793327097419e-02,-4.049763181647068677e+01,1.576975275046741919e-09
3.799999999999999906e-02,2.012775767415071054e-02,-2.901283306329678524e+01,5.031923558810864402e-11
3.899999999999999994e-02,7.404588245200773890e-03,-1.594510850990083739e+01,1.605621540322848410e-12
4.000000000000000083e-02,2.723995785749091115e-03,1.674765868623981635e-01,5.123330075701571271e-14
4.100000000000000172e-02,1.002102047414739610e-03,1.523897176230551054e+01,1.634788174261193915e-15
4.200000000000000261e-02,3.686527411996925714e-04,2.913129626749212875e+01,5.216397021498291913e-17
4.300000000000000350e-02,1.356197644188632408e-04,4.075346597334548449e+01,1.664484629526620689e-18
4.399999999999999745e-02,4.989172314621407347e-05,4.775836669752968788e+01,5.311154558428541135e-20
4.499999999999999833e-02,1.835413923010954546e-05,5.010627650742511463e+01,1.694720530494699260e-21
4.599999999999999922e-02,6.752110483155546723e-06,4.742102223081182899e+01,5.407633396626291263e-23
4.700000000000000011e-02,2.483962631271100019e-06,4.085674757202080798e+01,1.725505676370849110e-24
4.800000000000000100e-02,9.137987846827577624e-07,2.960062253472451488e+01,5.505864804085206262e-26
4.900000000000000189e-02,3.361677862522360762e-07,1.525141172014373758e+01,1.756850044366271437e-27
5.000000000000000278e-02,nan,nan,nan
5.100000000000000366e-02,nan,nan,nan
5.200000000000000455e-02,nan,nan,nan
5.299999999999999850e-02,nan,nan,nan
5.399999999999999939e-02,nan,nan,nan
5.500000000000000028e-02,nan,nan,nan
5.600000000000000117e-02,nan,nan,nan
5.700000000000000205e-02,nan,nan,nan
5.800000000000000294e-02,nan,nan,nan
5.900000000000000383e-02,nan,nan,nan
5.999999999999999778e-02,6.000000000000000000e+01,6.072544121974270581e+01,5.721374641243784964e+01
6.099999999999999867e-02,2.207276647028653827e+01,3.712737793877739279e+01,4.621242584162638423e+01
6.199999999999999956e-02,8.120116994196761695e+00,3.706776765359635561e+01,3.732648945540047691e+01
6.300000000000000044e-02,2.987224102071836640e+00,4.312154818466271422e+01,3.014918151751993491e+01
6.400000000000000133e-02,1.098938333324050776e+00,4.847424050854962019e+01,2.435195914318306265e+01
6.500000000000000222e-02,4.042768199451280409e-01,4.972070976362724082e+01,1.966945317459611786e+01
6.600000000000000311e-02,1.487251305999815199e-01,4.774059991461774644e+01,1.588732084810236245e+01
6.700000000000000400e-02,5.471291793327097419e-02,4.014555280805872428e+01,1.283243420597689521e+01
